Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
06:09.2,0 days 00:19:04.530000,,1.570781325,0 days 00:05:59.763000,11548,216,5,100,TRUE,8,car,14078.01972,0.154216666,OnTrack,-2113.152209,-941.8138239,823.0215777
06:09.4,0 days 00:19:04.690000,,1.570074555,0 days 00:05:59.923000,11835,219,5,100,TRUE,8,car,14087.75306,0.154323289,OnTrack,-2061.54723,-863.2738448,815.9476282
06:09.5,0 days 00:19:04.786000,,1.56972117,0 days 00:06:00.019000,11980,222,5,100,TRUE,8,pos,14093.778,0.154389289,OnTrack,-2039,-829,813
06:09.6,0 days 00:19:04.930000,,1.569367785,0 days 00:06:00.163000,12125,226,5,100,TRUE,8,car,14102.81972,0.154488335,OnTrack,-2015.774309,-794.2344703,810.2499807
06:09.7,0 days 00:19:05.006000,,1.5690144,0 days 00:06:00.239000,12222,219,5,100,TRUE,8,pos,14107.39485,0.154538453,OnTrack,-1997,-768,808
06:09.8,0 days 00:19:05.130000,,1.568661015,0 days 00:06:00.363000,12320,212,5,100,TRUE,8,car,14114.5975,0.154617354,OnTrack,-1945.420914,-698.0537136,801.5869977
06:10.0,0 days 00:19:05.290000,,1.567954245,0 days 00:06:00.523000,11900,200,5,100,TRUE,8,car,14123.48639,0.154714727,OnTrack,-1860.478458,-584.6741445,790.8530929
06:10.0,0 days 00:19:05.346000,,1.56760086,0 days 00:06:00.579000,11252,189,5,50,TRUE,8,pos,14126.45369,0.154747232,OnTrack,-1838,-555,788
06:10.3,0 days 00:19:05.570000,,1.567247475,0 days 00:06:00.803000,10604,178,5,0,TRUE,8,car,14137.33083,0.154866385,OnTrack,-1789.718318,-493.6166015,781.8131932
06:10.4,0 days 00:19:05.706000,,1.567011885,0 days 00:06:00.939000,10305,162,5,0,TRUE,8,pos,14142.86965,0.15492706,OnTrack,-1766,-466,779
06:10.7,0 days 00:19:06.006000,,1.566776295,0 days 00:06:01.239000,10007,146,5,0,TRUE,8,pos,14153.08792,0.155038995,OnTrack,-1689,-376,771
06:10.7,0 days 00:19:06.010000,,1.566540705,0 days 00:06:01.243000,9709,130,4,0,TRUE,8,car,14153.21972,0.155040439,OnTrack,-1688.097942,-374.8914574,770.9275225
06:10.7,0 days 00:19:06.066000,,1.56618732,0 days 00:06:01.299000,9744,123,4,0,TRUE,8,pos,14155.05801,0.155060576,OnTrack,-1676,-360,770
06:10.9,0 days 00:19:06.170000,,1.565833935,0 days 00:06:01.403000,9780,116,3,0,TRUE,8,car,14158.37528,0.155096915,OnTrack,-1653.366783,-334.8166828,767.896123
06:10.9,0 days 00:19:06.245000,,1.56548055,0 days 00:06:01.478000,9304,110,3,0,TRUE,8,pos,14160.61308,0.155121429,OnTrack,-1636,-317,766
06:11.0,0 days 00:19:06.330000,,1.565127164,0 days 00:06:01.563000,8828,105,2,0,TRUE,8,car,14163.04194,0.155148036,OnTrack,-1614.747759,-295.9084808,763.4704497
06:11.2,0 days 00:19:06.530000,,1.564420394,0 days 00:06:01.763000,8143,99,2,0,TRUE,8,car,14168.54194,0.155208285,OnTrack,-1562.054612,-246.5530674,756.768605
06:11.3,0 days 00:19:06.605000,,1.564067009,0 days 00:06:01.838000,8037,96,2,0,TRUE,8,pos,14170.50571,0.155229797,OnTrack,-1546,-233,755
06:11.4,0 days 00:19:06.730000,,1.563713624,0 days 00:06:01.963000,7932,93,2,0,TRUE,8,car,14173.70861,0.155264883,OnTrack,-1525.181818,-217.9214877,753.2693737
06:11.6,0 days 00:19:06.890000,,1.563006854,0 days 00:06:02.123000,7452,92,2,0,TRUE,8,car,14177.7975,0.155309674,OnTrack,-1502.330564,-207.9588712,752.2930192
06:11.6,0 days 00:19:06.925000,,1.562771264,0 days 00:06:02.158000,7347,90,2,0,TRUE,8,pos,14178.66713,0.1553192,OnTrack,-1496,-206,752
06:11.8,0 days 00:19:07.145000,,1.562535674,0 days 00:06:02.378000,7242,88,2,0,TRUE,8,pos,14183.90599,0.155376589,OnTrack,-1447,-197,749
06:11.9,0 days 00:19:07.170000,,1.562300084,0 days 00:06:02.403000,7137,86,2,0,TRUE,8,car,14184.48639,0.155382947,OnTrack,-1441.200585,-196.9384541,748.4286756
