Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
07:03.2,0 days 00:19:58.506000,3,165.4747222,0 days 00:05:09.285000,8991,115,3,0,TRUE,8,pos,11036.9159,0.308893288,OnTrack,-997,-988,674
07:03.4,0 days 00:19:58.690000,3,165.3191667,0 days 00:05:09.469000,8816,106,3,0,TRUE,8,car,11042.19583,0.309041059,OnTrack,-978,-1014,671
07:03.5,0 days 00:19:58.845000,3,165.3747222,0 days 00:05:09.624000,8449,100,3,0,TRUE,8,pos,11046.26697,0.309154999,OnTrack,-961,-1036,670
07:03.6,0 days 00:19:58.890000,3,165.4302778,0 days 00:05:09.669000,8082,94,2,0,TRUE,8,car,11047.41806,0.309187214,OnTrack,-954,-1043,669
07:03.8,0 days 00:19:59.085000,3,165.5413889,0 days 00:05:09.864000,8529,91,2,0,TRUE,8,pos,11052.24748,0.309322377,OnTrack,-921,-1079,666
07:03.8,0 days 00:19:59.090000,3,165.6525,0 days 00:05:09.869000,8977,89,2,0,TRUE,8,car,11052.3625,0.309325596,OnTrack,-919,-1079,665
07:04.0,0 days 00:19:59.330000,3,166.5858333,0 days 00:05:10.109000,7871,75,1,0,TRUE,8,car,11057.3625,0.309465532,OnTrack,-865,-1116,662
07:04.0,0 days 00:19:59.345000,3,166.9636111,0 days 00:05:10.124000,7536,72,1,0,TRUE,8,pos,11057.66119,0.309473892,OnTrack,-863,-1118,662
07:04.2,0 days 00:19:59.490000,3,167.3413889,0 days 00:05:10.269000,7201,70,1,0,TRUE,8,car,11060.47361,0.309552604,OnTrack,-843,-1126,660
07:04.3,0 days 00:19:59.625000,3,168.5636111,0 days 00:05:10.404000,7006,65,1,0,TRUE,8,pos,11062.80055,0.309617728,OnTrack,-828,-1129,659
07:04.5,0 days 00:19:59.825000,3,169.7858333,0 days 00:05:10.604000,6811,61,1,0,TRUE,8,pos,11065.8338,0.309702621,OnTrack,-795,-1132,658
07:04.6,0 days 00:19:59.890000,3,171.0080556,0 days 00:05:10.669000,6617,57,1,0,TRUE,8,car,11066.80694,0.309729857,OnTrack,-785,-1130,657
07:04.7,0 days 00:20:00.005000,3,172.6025,0 days 00:05:10.784000,6077,55,1,0,TRUE,8,pos,11068.52732,0.309778005,OnTrack,-770,-1125,657
